id,label,latitude,longitude,n1,n2,n3,n4,n5
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,431,239,243,395,298
325,E 19 St & 3 Ave,40.73624527,-73.98473765,461,475,297,503,2003
326,E 11 St & 1 Ave,40.72953837,-73.98426726,438,237,236,433,445
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,309,426,3002,147,276
328,Watts St & Greenwich St,40.72405549,-74.00965965,248,377,329,2004,347
329,Greenwich St & N Moore St,40.72043411,-74.01020609,249,248,276,79,328
330,Reade St & Broadway,40.71450451,-74.00562789,387,386,152,224,319
331,Pike St & Monroe St,40.71173107,-73.99193043,408,295,307,340,2009
332,Cherry St,40.71219906,-73.97948148,502,291,356,342,341
334,W 20 St & 7 Ave,40.74238787,-73.99726235,470,435,453,446,116
335,Washington Pl & Broadway,40.72903917,-73.99404649,229,294,293,300,161
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,161,252,369,368,294
337,Old Slip & Front St,40.7037992,-74.00838676,415,315,351,260,264
339,Avenue D & E 12 St,40.72580614,-73.97422494,266,394,411,511,393
340,Madison St & Clinton St,40.71269042,-73.98776323,291,307,350,331,295
341,Stanton St & Mangin St,40.71782143,-73.97628939,342,302,400,411,150
342,Columbia St & Rivington St,40.71739973,-73.98016555,356,400,349,341,502
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,421,313,242,419,366
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,436,289,120,396,409
345,W 13 St & 6 Ave,40.73649403,-73.99704374,223,383,482,280,496
346,Bank St & Hudson St,40.73652889,-74.00618026,247,238,405,380,284
347,W Houston St & Hudson St,40.72873888,-74.00748842,128,358,368,2004,328
348,W Broadway & Spring St,40.72490985,-74.00154702,303,128,2004,2010,375
349,Rivington St & Ridge St,40.71850211,-73.98329859,400,356,410,342,150
350,Clinton St & Grand St,40.71559509,-73.9870295,311,307,340,291,356
351,Front St & Maiden Ln,40.70530954,-74.00612572,315,264,337,415,360
352,W 56 St & 6 Ave,40.76340613,-73.97722479,2006,281,520,510,137
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,83,274,416,271,397
354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,244,372,313,364,366
355,Bayard St & Baxter St,40.71602118,-73.99974372,386,296,263,268,308
356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,342,502,349,400,350
357,E 11 St & Broadway,40.73261787,-73.99158043,285,483,382,293,280
358,Christopher St & Greenwich St,40.73291553,-74.00711384,247,380,238,346,347
359,E 47 St & Park Ave,40.75510267,-73.97498696,228,318,522,440,538
360,William St & Pine St,40.70717936,-74.00887308,264,376,195,415,351
361,Allen St & Hester St,40.71605866,-73.99190759,412,295,307,531,311
362,Broadway & W 37 St,40.75172632,-73.98753523,267,533,505,492,498
363,West Thames St,40.70834698,-74.01713445,2008,3002,304,195,427
364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,120,409,399,289,275
365,Fulton St & Grand Ave,40.68223166,-73.9614583,289,384,396,120,275
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,270,244,313,421,258
367,E 53 St & Lexington Ave,40.75828065,-73.97069431,2023,522,464,456,441
368,Carmine St & 6 Ave,40.73038599,-74.00214988,369,336,161,252,128
369,Washington Pl & 6 Ave,40.73224119,-74.00026394,252,336,368,380,383
372,Franklin Ave & Myrtle Ave,40.694528,-73.958089,354,373,409,364,244
373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,409,372,354,364,120
375,Mercer St & Bleecker St,40.72679454,-73.99695094,250,229,161,335,303
376,John St & William St,40.70862144,-74.00722156,316,306,264,360,195
377,6 Ave & Canal St,40.72243797,-74.00566443,248,2004,2010,79,328
379,W 31 St & 7 Ave,40.749156,-73.9916,492,505,498,521,490
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,247,383,369,358,346
382,University Pl & E 14 St,40.73492695,-73.99200509,285,357,496,497,280
383,Greenwich Ave & Charles St,40.735238,-74.000271,380,223,345,369,252
384,Fulton St & Waverly Ave,40.68317813,-73.9659641,397,275,365,420,399
385,E 55 St & 2 Ave,40.75797322,-73.96603308,464,441,290,305,454
386,Centre St & Worth St,40.71494807,-74.00234482,355,330,387,308,320
387,Centre St & Chambers St,40.71273266,-74.0046073,224,330,386,316,319
388,W 26 St & 10 Ave,40.749717753,-74.002950346,489,458,462,512,509
389,Broadway & Berry St,40.71044554,-73.96525063,443,460,481,532,539
390,Duffield St & Willoughby St,40.69221589,-73.9842844,323,239,261,218,324
391,Clark St & Henry St,40.69760127,-73.99344559,322,232,406,216,407
392,Jay St & Tech Pl,40.695065,-73.987167,232,261,323,314,278
393,E 5 St & Avenue C,40.72299208,-73.97995466,317,150,411,302,394
394,E 9 St & Avenue C,40.72521311,-73.97768752,266,339,393,411,317
395,Bond St & Schermerhorn St,40.68807003,-73.98410637,431,324,218,298,310
396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,436,365,289,344,120
397,Fulton St & Clermont Ave,40.68415748,-73.96922273,384,420,275,353,416
398,Atlantic Ave & Furman St,40.69165183,-73.9999786,157,406,143,314,391
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,275,258,364,244,420
400,Pitt St & Stanton St,40.71926081,-73.98178024,349,150,342,410,356
401,Allen St & Rivington St,40.72019576,-73.98997825,473,312,265,531,311
402,Broadway & E 22 St,40.7403432,-73.98955109,444,503,491,497,496
403,E 2 St & 2 Ave,40.72502876,-73.99069656,439,428,265,300,312
